"Kohli didn't win #ThankGod :D . Was the first IPL where I didn't even watch a single game. All these leagues are getting a bit too boring","0","0"
"We were the underdogs n today we r the champions so proud 2 be a Hyderabadi :) #IPL2016 #IPL #Cricket #IPL09 #IPLT20https://twitter.com/ipl/status/737013404276129793 …","0","0"
"@MehdiyaZehra @Umar96Akmal Bhai ne toh warner ko ek hi din mein ipl or psl dono jitwadi :P","0","0"
"@Umar96Akmal @davidwarner31 Aby Jahil Kay PSL Kahan IPL ka final tha :D","0","0"
"#WellPlayedVK :) Ipl trophy deserves u http://fb.me/172PuN3Op ","0","0"
"IPL ends... sunday end... monday started... nd u know suryavansm v have 2 start in set max... ohh god :)","0","0"
"@IPL @SDhawan25 The best team work by #Sunrisers proud to be #Hyderabadi Hard luck to #RCB :P yet a good fight. #IPL2016. #HYDERABAD #Cheers","0","0"
"Finally end to over 50 days of regular heart stopping action,see you again next year #IPL @IPL and hopefully with a new champ :)","0","0"
"@ipl @sdhawan25 !! Congrates Sir Aaj To Chamatkaar Kar Diye SRH !! :-)","0","0"
"@ipl @yuvstrong12 !! Today Yuvi Give Us Happiness So So Happy Thank You Punjab Ke Sher Mmmuah !! :-)","0","0"
"Kya bro @SKsCombat hota h yaar! AB akelaa SF liya AB >>>> IPL :) Baaki RCB aaj 209 ko itna close liya wd no experience in lower order","0","0"
"Orange cap holder Most Valuable Player Maximum Sixes Award Hatsoff @imvkohli IPL 9 would be remembered for U.THANK YOU SO MUCH :)","0","0"
"Congratulations @SunRisers :) You guys totally deserve it! @IPL #IPL2016","7.873053999999999","80.77179699999999"
"#RCBvSRH ben cuttings auction 50lakhs, won ipl 2016 for #OrangeArmy best deal of the year :)","0","0"
"IPL khatam :) Sooryavansham time.","0","0"
"Okay That's end of IPL. Mom, now you can watch your Serials properly from tomorrow :P","0","0"
"Now its time to UnFollow All the accounts which belongs to IPL See u next year till than take a break :)","0","0"
"Back home from the stadium & many congrats to #sunrisershyderabad #SRH on winning the IPL :) @SunRisers were the better side yesterday :)","0","0"
"Virat Kohli :) Man of the Tournament WT20 2014 Man of The Tournament WT20 2016 Most Valuable Player IPL 2016 #Respect","0","0"
"IPL Final shows that Cricket isn't a few mens game, at the end of the day, its team who plays together wins it :D... http://fb.me/2NjrJIsGd ","0","0"
"@oh_yes_abhii as suupporters of dis long ipl season since hyderabad won we all deserve biriyanis :)","0","0"
"ZERO @IPL trophies :D https://twitter.com/merin_kumar/status/736950555176636418 …","0","0"
"To celebrate the End Of IPL, Set Max Will Telecast Suryavansham Whole Day Tomorrow :D","0","0"
"Congrats to @SunRisers for winning the 2016 IPL crown :) you guys really deserve it specially @davidwarner31 @BhuviOfficial & @YUVSTRONG12","0","0"
"#ipl congratulation SR Hydrabad for their 1st IPL victory.:-) :-)","0","0"
